ranking;projeto;linguagem;estrelas;estrelas_dia;compartilhamento
1;Cinnamon/kotaemon;Python;8297;1375;575
2;sickcodes/Docker-OSX;Shell;44170;1244;2.236
3;lobehub/lobe-chat;TypeScript;37804;52;8.906
4;f/awesome-chatgpt-prompts;HTML;109120;195;14.919
5;aceberg/WatchYourLAN;Go;2453;343;75
6;MLSysOps/MLE-agent;Python;586;60;24
7;graviraja/MLOps-Basics;Jupyter Notebook;4794;110;832
8;gitroomhq/postiz-app;TypeScript;4504;452;796
9;swisskyrepo/PayloadsAllTheThings;Python;59636;29;14.409
10;bluesky-social/social-app;TypeScript;7761;175;1.014
